product_id,key,value
category_1_product_4,gaming mode,combat gaming mode with 45 ms ultra low latency
category_1_product_5,battery charging,e perience powerful 35 db anc 35 hours of uninterrupted playtime with anc
category_1_product_5,noise cancellation,total 60 hours battery life and provides 10 mins charge 150 mins playtime when anc is off
category_1_product_5,sound,e perience reliable highquality audio streaming with bluetooth 54
category_1_product_5,connectivity,bt version 54 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_5,water resistance,ip 5
category_1_product_5,added features,dual device connectivity ai voice assistant touch controls 45 ms ultra low latency combat mode app support goboult amp
category_1_product_6,battery charging,total playback 60 hours lightning fast charging 10 min charge 100 min playtime charging port ctype charging indicator yes
category_1_product_6,noise cancellation,zen mode environmental noise cancellation
category_1_product_6,sound,driver 10 mm audio codec aac sbc high fidelity acoustics
category_1_product_6,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_6,water resistance,ip 5
category_1_product_6,added features,ai voice assistant
category_1_product_7,battery charging,total playback 60 hours charging port ctype
category_1_product_7,noise cancellation,quad mic enc
category_1_product_7,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_7,connectivity,bt version 54 bt supported profiles a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_7,water resistance,ip 5
category_1_product_7,added features,ai voice assistant touch controls 45 ms ultra low latency combat mode app support goboult amp
category_1_product_8,battery charging,total playback 80 hours lightning fast charging 10 min charge 180 min playtime charging port ctype charging indicator yes
category_1_product_8,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_8,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_8,connectivity,bt version 54 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_8,water resistance,ip 5
category_1_product_8,added features,dual device connectivity ai voice assistant touch controls 45 ms ultra low latency combat mode
category_1_product_9,battery charging,total playback 50 hours lightning fast charging 10 min charge 100 min playtime charging port ctype charging indicator yes
category_1_product_9,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_9,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_9,connectivity,bt version 54 bt supported profiles a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_9,water resistance,ip 5
category_1_product_9,added features,ai voice assistant touch controls 45 ms ultra low latency combat mode mode sync leds app support goboult amp
category_1_product_10,battery charging,total playback 35 hours lightning fast charging 10 min charge 120 min playtime charging port ctype charging indicator yes
category_1_product_10,noise cancellation,zen mode environmental noise cancellation
category_1_product_10,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_10,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_10,water resistance,ip 5
category_1_product_10,added features,ai voice assistant touch controls 45 ms ultra low latency combat mode
category_1_product_11,battery charging,total playback 35 hours lightning boult fast charging 10 min charge 120 min playtime charging port ctype charging indicator yes
category_1_product_11,noise cancellation,zen mode environmental noise cancellation
category_1_product_11,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_11,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_11,water resistance,ip 5
category_1_product_11,added features,ai voice assistant touch controls 45 ms ultra low latency combat mode
category_1_product_12,battery charging,total playback 35 hours lightning fast charging 10 min charge 120 min playtime charging port ctype charging indicator yes
category_1_product_12,noise cancellation,zen mode environmental noise cancellation
category_1_product_12,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_12,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_12,water resistance,ip 5
category_1_product_12,added features,ai voice assistant touch controls 45 ms ultra low latency combat mode
category_1_product_13,battery charging,total playback 60 hours fast charging 10 min charge 150 min playtime charging port ctype charging indicator yes
category_1_product_13,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_13,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_13,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_13,water resistance,ip 5
category_1_product_13,added features,ai voice assistant touch controls 45 ms ultra low latency combat mode
category_1_product_14,battery charging,total playback 40 hours fast charging 10 min charge 150 min playtime charging port ctype charging indicator yes
category_1_product_14,noise cancellation,zen mode environmental noise cancellation
category_1_product_14,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_14,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_14,water resistance,ip 5
category_1_product_14,added features,ai voice assistant touch controls 40 ms ultra low latency combat mode dynamic leds
category_1_product_15,battery charging,total playback 60 hours lightning fast charging 10 min charge 100 min playtime charging port ctype charging indicator yes
category_1_product_15,noise cancellation,zen mode environmental noise cancellation
category_1_product_15,sound,driver 10 mm audio codec aac sbc high fidelity acoustics
category_1_product_15,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_15,water resistance,ip 5
category_1_product_15,added features,ai voice assistant
category_1_product_16,in the bo,1 pair of earbuds charging cable user manual warranty card additional pair of ear tips
category_1_product_16,model name,astra neo
category_1_product_16,battery fast charging,70 hrs playtime lightning boult 10 mins 100 mins playtime fast charging typec
category_1_product_16,bluetooth version,blink pair bluetooth 54 fastest pairing
category_1_product_16,gaming mode,combat gaming mode with 40 ms ultra low latency mobile gaming
category_1_product_16,case finish,comfort grip mode led
category_1_product_16,colour variants,black white
category_1_product_16,enc,zen quad mic enc
category_1_product_16,13 mm drivers,boom technology supreme bass 13 mm drivers sbc aac codec supported
category_1_product_16,added features,voice assistant ip 5 water resistant
category_1_product_17,battery charging,total playback 60 hours lightning fast charging 10 min charge 100 min playtime charging port ctype charging indicator yes
category_1_product_17,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_17,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_17,connectivity,bt version 54 bt supported profiles a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_17,water resistance,ip 5
category_1_product_17,added features,ai voice assistant touch controls 45 ms ultra low latency combat mode mode sync leds app support goboult amp
category_1_product_18,battery charging,total playback 100 hours fast charging 10 min charge 120 min playtime charging port ctype charging indicator yes
category_1_product_18,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_18,sound,driver 10 mm audio codec aac sbc high fidelity acoustics
category_1_product_18,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_18,water resistance,ip 5
category_1_product_18,added features,ai voice assistant
category_1_product_18,drivers,boom technology 13 mm drivers sbc aac codec supported
category_1_product_19,battery charging,total playback 100 hours lightning fast charging 10 min charge 100 min playtime charging port ctype charging indicator yes
category_1_product_19,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_19,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_19,connectivity,bluetooth version 54 bt supported profiles a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_19,water resistance,ip 5
category_1_product_19,added features,dual device connectivity ai voice assistant touch controls 45 ms ultra low latency combat mode app support goboult amp
category_1_product_20,battery charging,total playback 60 hours fast charging 10 min charge 150 min playtime charging port ctype charging indicator yes
category_1_product_20,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_20,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_20,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_20,water resistance,ip 5
category_1_product_20,added features,ai voice assistant touch controls 45 ms ultra low latency combat mode
category_1_product_21,battery charging,total playback 60 hours lightning fast charging 10 min charge 120 min playtime charging port ctype charging indicator yes
category_1_product_21,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_21,sound,driver 10 mm audio codec aac sbc high fidelity acoustics
category_1_product_21,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_21,water resistance,ip 5
category_1_product_21,added features,ai voice assistant touch controls 45 ms ultra low latency combat mode
category_1_product_22,battery charging,total playback 48 hours lightning boult fast charging 10 min charge 100 min playtime charging port ctype charging indicator yes
category_1_product_22,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_22,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_22,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_22,water resistance,ip 5
category_1_product_22,added features,ai voice assistant touch controls 45 ms ultra low latency combat mode
category_1_product_23,battery charging,total playback 50 hours lightning boult fast charging 10 min charge 120 min playtime charging port ctype charging indicator yes
category_1_product_23,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_23,sound,driver 10 mm audio codec aac sbc high fidelity acoustics
category_1_product_23,connectivity,bt version 54 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_23,water resistance,ip 5
category_1_product_23,added features,ai voice assistant touch controls 45 ms ultra low latency combat mode
category_1_product_23,added features,ai voice assistant touch controls 40 ms ultra low latency combat mode dynamic leds
category_1_product_24,battery charging,total playback 48 hours lightning boult fast charging 10 min charge 100 min playtime charging port ctype charging indicator yes
category_1_product_24,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_24,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_24,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_24,water resistance,ip 5
category_1_product_24,added features,ai voice assistant touch controls 45 ms ultra low latency combat mode mode sync leds
category_1_product_25,battery charging,total playback 60 hours lightning fast charging 10 min charge 100 min playtime charging port ctype charging indicator yes
category_1_product_25,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_25,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_25,connectivity,bt version 54 bt supported profiles a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_25,water resistance,ip 5
category_1_product_25,added features,ai voice assistant touch controls 45 ms ultra low latency combat mode mode sync leds app support goboult amp
category_1_product_26,battery charging,total playback 32 hours lightning fast charging 10 min charge 100 min playtime charging port ctype charging indicator yes
category_1_product_26,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_26,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_26,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_26,water resistance,ip 5
category_1_product_26,added features,ai voice assistant touch controls
category_1_product_26,bluetooth version,blink pair bluetooth 53 fastest pairing
category_1_product_26,gaming mode,combat gaming mode with 45 ms ultra low latency
category_1_product_27,battery charging,total playback 48 hours lightning fast charging 10 min charge 100 min playtime charging port ctype charging indicator yes
category_1_product_27,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_27,sound,driver 10 mm audio codec aac sbc high fidelity acoustics
category_1_product_27,connectivity,bluetooth version 54 bt supported profiles a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_27,water resistance,ip 5
category_1_product_27,added features,ai voice assistant touch controls 45 ms ultra low latency combat mode
category_1_product_28,battery charging,total playback 100 hours lightning fast charging 10 min charge 100 min playtime charging port ctype charging indicator yes
category_1_product_28,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_28,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_28,connectivity,bluetooth version 54 bt supported profiles a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_28,water resistance,ip 5
category_1_product_28,added features,dual device connectivity ai voice assistant touch controls 45 ms ultra low latency combat mode app support goboult amp
category_1_product_29,battery charging,total playback 40 hours lightning fast charging 15 min charge 100 min playtime charging port ctype charging indicator yes
category_1_product_29,noise cancellation,zen mode environmental noise cancellation
category_1_product_29,sound,driver boom tech drivers audio codec aac sbc high fidelity acoustics
category_1_product_29,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_29,water resistance,ip 5
category_1_product_29,added features,ai voice assistant touch controls
category_1_product_29,bluetooth version,blink pair bluetooth 53 fastest pairing
category_1_product_29,gaming mode,combat gaming mode with 45 ms ultra low latency
category_1_product_30,battery charging,total playback 40 hours lightning fast charging 10 min charge 150 min playtime charging port ctype charging indicator yes
category_1_product_30,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_30,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_30,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_30,water resistance,ip 5
category_1_product_30,added features,ai voice assistant touch controls 45 ms ultra low latency combat mode
category_1_product_31,battery charging,total playback 60 hours lightning fast charging 10 min charge 100 min playtime charging port ctype charging indicator yes
category_1_product_31,noise cancellation,zen mode environmental noise cancellation
category_1_product_31,sound,driver 10 mm audio codec aac sbc high fidelity acoustics
category_1_product_31,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_31,water resistance,ip 5
category_1_product_31,added features,ai voice assistant
category_1_product_32,battery charging,total playback 60 hours lightning fast charging 10 min charge 100 min playtime charging port ctype charging indicator yes
category_1_product_32,noise cancellation,zen mode quad mic environmental noise cancellation
category_1_product_32,sound,driver 13 mm audio codec aac sbc high fidelity acoustics
category_1_product_32,connectivity,bt version 53 bt supported profile a 2 dp avrcp hfp hsp compatibility android ios
category_1_product_32,water resistance,ip 5
category_1_product_32,added features,ai voice assistant touch controls 45 ms ultra low latency combat mode
category_1_product_32,bluetooth version,blink pair bluetooth 53 fastest pairing
category_1_product_32,gaming mode,combat gaming mode with 45 ms ultra low latency
